cruise,cast,niskin,station,data_check,size,mean_npp,depth_category,sd_npp,depth,depth_grp,temp_check,temp_dif
AT46,13,8,L8,A,greater20,0.032,NA,NA,58.614,"(57,58.5]",Bad,-2.815068772
AT46,13,12,L8,A,total,2.561,D2,NA,44.625,"(43.5,45]",Good,-1.979918772
AT46,13,12,L8,A,less20,1.549,D2,NA,44.625,"(43.5,45]",Good,-1.979918772
AT46,13,12,L8,A,less5,1.173,D2,NA,44.625,"(43.5,45]",Good,-1.979918772
AT46,13,12,L8,A,between520,0.376,NA,NA,44.625,"(43.5,45]",Good,-1.979918772
AT46,13,12,L8,A,greater20,1.012,NA,NA,44.625,"(43.5,45]",Good,-1.979918772
AT46,13,16,L8,A,total,23.369,D3,NA,27.513,"(25.5,27]",Good,-0.335698408
AT46,13,16,L8,A,less20,6.369,D3,NA,27.513,"(25.5,27]",Good,-0.335698408
AT46,13,16,L8,A,less5,3.431,D3,NA,27.513,"(25.5,27]",Good,-0.335698408
AT46,13,16,L8,A,between520,2.938,NA,NA,27.513,"(25.5,27]",Good,-0.335698408
AT46,13,16,L8,A,greater20,17,NA,NA,27.513,"(25.5,27]",Good,-0.335698408
AT46,13,21,L8,A,total,20.398,D4,1.6051,7.661,"(6,7.5]",Good,0.187285022
AT46,13,21,L8,A,less20,12.251,D4,NA,7.661,"(6,7.5]",Good,0.187285022
AT46,13,21,L8,A,less5,6.912,D4,NA,7.661,"(6,7.5]",Good,0.187285022
AT46,13,21,L8,A,between520,5.339,NA,NA,7.661,"(6,7.5]",Good,0.187285022
AT46,13,21,L8,A,greater20,8.147,NA,NA,7.661,"(6,7.5]",Good,0.187285022
AT46,15,2,L4,A,total,1.757,D1,NA,30.237,"(28.5,30]",Good,-0.109863287
AT46,15,2,L4,A,less20,1.206,D1,NA,30.237,"(28.5,30]",Good,-0.109863287
AT46,15,2,L4,A,less5,0.651,D1,NA,30.237,"(28.5,30]",Good,-0.109863287
AT46,15,2,L4,A,between520,0.555,NA,NA,30.237,"(28.5,30]",Good,-0.109863287
AT46,15,2,L4,A,greater20,0.551,NA,NA,30.237,"(28.5,30]",Good,-0.109863287
AT46,15,4,L4,A,total,26.422,D2,NA,7.572,"(6,7.5]",Good,-0.104163287
AT46,15,4,L4,A,less20,13.567,D2,NA,7.572,"(6,7.5]",Good,-0.104163287
AT46,15,4,L4,A,less5,5.237,D2,NA,7.572,"(6,7.5]",Good,-0.104163287
AT46,15,4,L4,A,between520,8.33,NA,NA,7.572,"(6,7.5]",Good,-0.104163287
AT46,15,4,L4,A,greater20,12.855,NA,NA,7.572,"(6,7.5]",Good,-0.104163287
AT46,17,11,L2,A,total,93.468,D2,NA,15.614,"(13.5,15]",Good,0.998076944
AT46,17,11,L2,A,less20,19.015,D2,NA,15.614,"(13.5,15]",Good,0.998076944
