cruise,date_time_utc,cast,station,niskin,latitude,longitude,depth,alternate_sample_category,depth_category,filter_size,replicate,percent_surface_irradiance,npp_rate,iode_quality_flag,nearest_station,distance,incub_type
EN655,2020-07-25 15:51:33,1,L1,4,41.2031,-70.8803,18.448,D1_GFF,D1,>0,NA,1,12.138,1,L1,0.75,ambient_temp
EN655,2020-07-25 15:51:33,1,L1,4,41.2031,-70.8803,18.448,D1_5,D1,>0&<5,NA,1,8.495,1,L1,0.75,ambient_temp
EN655,2020-07-25 15:51:33,1,L1,4,41.2031,-70.8803,18.448,D1_20,D1,>0&<20,NA,1,8.2,1,L1,0.75,ambient_temp
EN655,2020-07-25 15:54:03,1,L1,9,41.2025,-70.8802,12.926,D2_GFF,D2,>0,NA,10,64.912,1,L1,0.7,ambient_temp
EN655,2020-07-25 15:54:03,1,L1,9,41.2025,-70.8802,12.926,D2_5,D2,>0&<5,NA,10,27.498,1,L1,0.7,ambient_temp
EN655,2020-07-25 15:54:03,1,L1,9,41.2025,-70.8802,12.926,D2_20,D2,>0&<20,NA,10,16.747,1,L1,0.7,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_GFF,D3,>0,1,65,16.584,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_GFF,D3,>0,2,65,16.918,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_GFF,D3,>0,3,65,17.053,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_10,D3,>0&<10,1,65,14.94,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_10,D3,>0&<10,2,65,36.637,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_10,D3,>0&<10,3,65,18.154,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_5,D3,>0&<5,NA,65,13.783,1,L1,0.68,ambient_temp
EN655,2020-07-25 15:57:57,1,L1,18,41.2024,-70.8804,2.487,D3_20,D3,>0&<20,NA,65,17.505,1,L1,0.68,ambient_temp
EN655,2020-07-25 18:03:32,2,L2,6,41.0304,-70.8782,30.445,D1_GFF,D1,>0,NA,0.1,6.842,1,L2,0.43,ambient_temp
EN655,2020-07-25 18:03:32,2,L2,6,41.0304,-70.8782,30.445,D1_5,D1,>0&<5,NA,0.1,1.003,1,L2,0.43,ambient_temp
EN655,2020-07-25 18:03:32,2,L2,6,41.0304,-70.8782,30.445,D1_20,D1,>0&<20,NA,0.1,4.101,1,L2,0.43,ambient_temp
EN655,2020-07-25 18:06:02,2,L2,9,41.0304,-70.8779,20.568,D2_GFF,D2,>0,NA,1,41.396,1,L2,0.45,ambient_temp
EN655,2020-07-25 18:06:02,2,L2,9,41.0304,-70.8779,20.568,D2_5,D2,>0&<5,NA,1,6.494,1,L2,0.45,ambient_temp
EN655,2020-07-25 18:06:02,2,L2,9,41.0304,-70.8779,20.568,D2_20,D2,>0&<20,NA,1,18.959,1,L2,0.45,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_GFF,D3,>0,1,65,21.615,1,L2,0.54,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_GFF,D3,>0,2,65,21.01,1,L2,0.54,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_GFF,D3,>0,3,65,21.969,1,L2,0.54,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_10,D3,>0&<10,1,65,21.211,1,L2,0.54,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_10,D3,>0&<10,2,65,19.505,1,L2,0.54,ambient_temp
EN655,2020-07-25 18:09:59,2,L2,17,41.0304,-70.8769,1.946,D3_10,D3,>0&<10,3,65,17.905,1,L2,0.54,ambient_temp
