cruise,date,latitude,longitude,cast,niskin,depth,depth_grp
EN608,2018-02-01 09:29:52+00:00,40.85672,-70.8843,5,12,15,"(13.5,15]"
EN608,2018-02-01 09:32:45+00:00,40.85608,-70.88436,5,13,3,"(1.5,3]"
EN608,2018-02-01 09:32:54+00:00,40.85604,-70.88436,5,14,3,"(1.5,3]"
EN608,2018-02-01 09:33:01+00:00,40.85601,-70.88438,5,15,2,"(1.5,3]"
EN608,2018-02-01 09:33:08+00:00,40.85598,-70.8844,5,16,3,"(1.5,3]"
EN608,2018-02-01 09:33:15+00:00,40.85596,-70.88442,5,17,3,"(1.5,3]"
EN608,2018-02-01 09:33:23+00:00,40.85593,-70.88442,5,18,2,"(1.5,3]"
EN608,2018-02-01 09:33:30+00:00,40.85591,-70.88444,5,19,3,"(1.5,3]"
EN608,2018-02-01 09:33:37+00:00,40.85589,-70.88446,5,20,2,"(1.5,3]"
EN608,2018-02-01 13:54:08+00:00,40.69095,-70.65586,6,1,10,"(9,10.5]"
EN608,2018-02-01 13:54:16+00:00,40.69088,-70.65584,6,2,10,"(9,10.5]"
EN608,2018-02-01 13:56:43+00:00,40.68994,-70.65543,6,3,4,"(3,4.5]"
EN608,2018-02-01 13:56:50+00:00,40.68989,-70.65543,6,4,5,"(3,4.5]"
EN608,2018-02-01 17:37:38+00:00,40.69006,-71.09536,7,1,10,"(9,10.5]"
EN608,2018-02-01 17:37:46+00:00,40.69002,-71.0953,7,2,10,"(9,10.5]"
EN608,2018-02-01 17:39:49+00:00,40.6894,-71.09458,7,3,4,"(3,4.5]"
EN608,2018-02-01 17:39:58+00:00,40.68934,-71.09452,7,4,4,"(3,4.5]"
EN608,2018-02-01 19:20:33+00:00,40.69588,-70.88512,8,1,61,"(60,61.5]"
EN608,2018-02-01 19:20:46+00:00,40.6958,-70.88511,8,2,61,"(60,61.5]"
EN608,2018-02-01 19:22:58+00:00,40.69526,-70.88492,8,3,44,"(43.5,45]"
EN608,2018-02-01 19:23:05+00:00,40.69524,-70.88488,8,4,44,"(43.5,45]"
EN608,2018-02-01 19:23:12+00:00,40.69522,-70.88488,8,5,44,"(43.5,45]"
EN608,2018-02-01 19:23:21+00:00,40.69518,-70.88484,8,6,44,"(43.5,45]"
EN608,2018-02-01 19:25:30+00:00,40.69459,-70.8846,8,7,29,"(28.5,30]"
EN608,2018-02-01 19:25:45+00:00,40.69452,-70.88458,8,8,29,"(28.5,30]"
EN608,2018-02-01 19:25:56+00:00,40.69446,-70.88457,8,9,29,"(28.5,30]"
EN608,2018-02-01 19:26:05+00:00,40.69441,-70.88456,8,10,29,"(28.5,30]"
EN608,2018-02-01 19:28:14+00:00,40.69378,-70.88452,8,11,14,"(13.5,15]"
EN608,2018-02-01 19:28:22+00:00,40.69375,-70.8845,8,12,14,"(13.5,15]"
EN608,2018-02-01 19:28:30+00:00,40.69372,-70.88448,8,13,14,"(13.5,15]"
EN608,2018-02-01 19:28:37+00:00,40.69368,-70.88446,8,14,14,"(13.5,15]"
EN608,2018-02-01 19:30:48+00:00,40.69306,-70.88426,8,15,5,"(4.5,6]"
EN608,2018-02-01 19:30:57+00:00,40.69302,-70.88424,8,16,5,"(4.5,6]"
EN608,2018-02-01 19:31:03+00:00,40.69298,-70.88423,8,17,5,"(4.5,6]"
EN608,2018-02-01 19:31:11+00:00,40.69294,-70.88424,8,18,5,"(4.5,6]"
EN608,2018-02-01 19:31:18+00:00,40.6929,-70.88422,8,19,5,"(4.5,6]"
EN608,2018-02-01 19:31:25+00:00,40.69287,-70.88422,8,20,5,"(4.5,6]"
EN608,2018-02-01 19:31:32+00:00,40.69282,-70.88421,8,21,5,"(4.5,6]"
EN608,2018-02-01 19:31:43+00:00,40.69276,-70.8842,8,22,5,"(4.5,6]"
EN608,2018-02-01 19:31:53+00:00,40.6927,-70.8842,8,23,5,"(4.5,6]"
